,Bids,Asks
0,,
1,998.0,1002.0
2,997.8,1001.8
3,997.6,1001.6
4,997.4,1006.4
5,1002.3,1006.3
6,1000.6,1005.6
7,1000.6,1007.6
8,1004.0,1010.0
9,1006.0,1010.0
10,1006.0,1010.0
11,1003.7,1009.7
12,1003.4,1007.4
13,998.4,1007.4
14,998.4,1002.4
15,998.4,1002.4
16,997.0,1002.0
17,996.4,1000.4
18,996.3,1000.3
19,996.3,1001.3
20,997.7,1001.7
21,997.7,1001.7
22,997.2,1001.2
23,996.2,1001.2
24,995.0,1000.0
25,995.0,999.0
26,994.8,998.8
27,994.5,998.5
28,994.5,998.5
29,993.3,998.3
30,992.6,996.6
31,993.6,997.6
32,993.6,998.6
33,994.9,999.9
34,995.8,999.8
35,990.0,999.0
36,987.4,993.4
37,987.4,991.4
38,987.4,991.4
39,986.4,991.4
40,986.4,993.4
41,989.4,993.4
42,989.4,993.4
43,989.0,993.0
44,989.0,993.0
45,989.0,993.0
46,989.0,993.0
47,989.3,994.3
48,991.2,995.2
49,991.4,998.4
50,994.2,1000.2
51,996.7,1000.7
52,997.2,1003.2
53,997.3,1003.3
54,997.0,1004.0
55,1000.2,1004.2
56,1000.2,1005.2
57,1001.0,1005.0
58,1000.2,1005.2
59,999.6,1003.6
60,999.7,1003.7
61,999.5,1006.5
62,1002.7,1006.7
63,1003.1,1008.1
64,1004.2,1008.2
65,998.4,1007.4
66,997.9,1001.9
67,997.9,1005.9
68,1002.7,1006.7
69,1002.8,1006.8
70,1002.8,1008.8
71,1005.2,1009.2
72,1005.4,1009.4
73,1005.4,1009.4
74,1002.9,1008.9
75,1002.1,1006.1
76,1002.4,1006.4
77,1002.4,1006.4
78,1001.8,1006.8
79,1001.4,1005.4
80,1002.4,1006.4
81,1002.3,1006.3
82,1001.8,1005.8
83,1001.0,1005.0
84,1000.2,1005.2
85,999.3,1003.3
86,999.3,1003.3
87,999.8,1003.8
88,1000.4,1004.4
89,1000.7,1005.7
90,1001.8,1006.8
91,1003.3,1008.3
92,1004.4,1009.4
93,1005.5,1009.5
94,1004.2,1010.2
95,1003.8,1007.8
96,1003.9,1007.9
97,1003.5,1007.5
98,1002.0,1008.0
99,1002.4,1006.4
100,1002.4,1006.4
101,1002.8,1006.8
102,1002.9,1008.9
103,1003.2,1009.2
104,1002.2,1007.2
105,1002.6,1007.6
106,1002.2,1006.2
107,1002.1,1007.1
108,1003.2,1007.2
109,1002.9,1006.9
110,1002.9,1006.9
111,1003.1,1007.1
112,1003.5,1007.5
113,1002.6,1006.6
114,999.8,1006.8
115,999.6,1003.6
116,998.4,1004.4
117,999.0,1006.0
118,1002.6,1006.6
119,999.9,1005.9
120,998.6,1003.6
121,998.4,1003.4
122,999.2,1004.2
123,996.6,1002.6
124,996.0,1000.0
125,995.1,999.1
126,995.0,1000.0
127,996.8,1002.8
128,999.1,1004.1
129,1000.4,1004.4
130,1000.6,1004.6
131,1000.4,1004.4
132,999.9,1005.9
133,1002.5,1006.5
134,1002.0,1006.0
135,997.4,1005.4
136,996.9,1001.9
137,998.8,1002.8
138,999.1,1004.1
139,1000.8,1008.8
140,1005.4,1009.4
141,1005.8,1009.8
142,1005.8,1011.8
143,1008.4,1012.4
144,1008.4,1012.4
145,1008.4,1012.4
146,1007.4,1012.4
147,1006.3,1011.3
148,1005.8,1009.8
149,1005.8,1009.8
150,1006.6,1010.6
151,1006.2,1010.2
152,1005.7,1009.7
153,1005.4,1010.4
154,1006.8,1010.8
155,1006.8,1010.8
156,1006.8,1010.8
157,1006.0,1011.0
158,1005.8,1009.8
159,1006.0,1010.0
160,1003.0,1010.0
161,1001.4,1006.4
162,1001.4,1005.4
163,1000.8,1005.8
164,1002.5,1006.5
165,1002.0,1006.0
166,1002.5,1006.5
167,1002.8,1006.8
168,1002.6,1006.6
169,1002.6,1006.6
170,1002.8,1006.8
171,1002.8,1006.8
172,1002.4,1007.4
173,998.1,1006.1
174,994.8,1001.8
175,994.6,998.6
176,993.2,998.2
177,992.4,996.4
178,993.3,1000.3
179,995.7,1000.7
180,994.8,998.8
181,992.9,997.9
182,992.4,996.4
183,992.0,996.0
184,992.1,996.1
185,993.0,998.0
186,994.8,1002.8
187,999.2,1003.2
188,997.8,1002.8
189,997.8,1001.8
190,997.4,1001.4
191,997.6,1001.6
192,997.6,1001.6
193,996.8,1001.8
194,996.3,1001.3
195,997.5,1002.5
196,998.8,1005.8
197,1002.0,1006.0
198,1001.4,1006.4
199,1002.4,1006.4
200,1002.5,1008.5
201,1005.4,1009.4
202,1005.4,1009.4
203,1006.0,1010.0
204,1006.8,1010.8
205,1006.6,1012.6
206,1009.0,1013.0
207,1008.4,1012.4
208,1008.0,1012.0
209,1008.0,1013.0
210,1009.6,1013.6
211,1008.9,1012.9
212,1009.8,1013.8
213,1009.3,1013.3
214,1009.0,1013.0
215,1006.5,1013.5
216,1006.5,1010.5
217,1006.5,1010.5
218,1004.5,1010.5
219,1004.3,1009.3
220,1005.9,1009.9
221,1005.0,1009.0
222,1005.0,1013.0
223,1009.4,1013.4
224,1009.6,1013.6
225,1008.8,1012.8
226,1009.1,1016.1
227,1012.8,1016.8
228,1012.2,1016.2
229,1012.1,1016.1
230,1012.9,1017.9
231,1013.5,1018.5
232,1013.5,1017.5
233,1013.5,1018.5
234,1013.5,1018.5
235,1013.2,1017.2
236,1014.0,1019.0
237,1015.0,1021.0
238,1017.4,1021.4
239,1015.6,1020.6
240,1015.4,1020.4
241,1016.8,1020.8
242,1016.7,1020.7
243,1015.8,1019.8
244,1015.8,1019.8
245,1015.0,1019.0
246,1014.4,1018.4
247,1013.6,1018.6
248,1014.3,1019.3
249,1012.6,1017.6
250,1012.0,1017.0
251,1013.2,1017.2
252,1013.1,1017.1
253,1013.4,1017.4
254,1013.5,1017.5
255,1014.1,1018.1
256,1014.1,1018.1
257,1014.1,1018.1
258,1013.2,1017.2
259,1012.2,1017.2
260,1011.4,1015.4
261,1011.0,1015.0
262,1010.7,1014.7
263,1009.8,1013.8
264,1009.7,1013.7
265,1009.7,1017.7
266,1014.5,1018.5
267,1013.6,1018.6
268,1012.8,1018.8
269,1015.0,1019.0
270,1014.9,1018.9
271,1015.2,1019.2
272,1015.8,1019.8
273,1015.4,1019.4
274,1014.6,1018.6
275,1014.5,1023.5
276,1020.3,1024.3
277,1020.8,1024.8
278,1016.5,1024.5
279,1016.3,1020.3
280,1016.8,1021.8
281,1014.8,1021.8
282,1014.6,1018.6
283,1013.6,1018.6
284,1014.6,1018.6
285,1014.6,1018.6
286,1013.9,1017.9
287,1014.2,1018.2
288,1015.0,1020.0
289,1016.5,1020.5
290,1013.0,1020.0
291,1013.5,1017.5
292,1013.2,1022.2
293,1018.8,1022.8
294,1019.0,1023.0
295,1019.2,1023.2
296,1019.1,1024.1
297,1019.1,1024.1
298,1018.8,1022.8
299,1017.8,1022.8
300,1017.8,1021.8
301,1018.0,1022.0
302,1018.2,1022.2
303,1018.2,1022.2
304,1018.5,1022.5
305,1017.4,1022.4
306,1017.0,1021.0
307,1016.8,1020.8
308,1016.3,1021.3
309,1017.5,1023.5
310,1017.5,1023.5
311,1017.8,1021.8
312,1017.6,1021.6
313,1017.6,1021.6
314,1017.2,1022.2
315,1018.2,1024.2
316,1017.8,1024.8
317,1017.4,1021.4
318,1017.1,1021.1
319,1016.2,1022.2
320,1018.4,1022.4
321,1018.4,1022.4
322,1018.4,1025.4
323,1021.8,1026.8
324,1023.4,1028.4
325,1023.9,1028.9
326,1023.4,1028.4
327,1024.0,1028.0
328,1024.6,1028.6
329,1024.2,1028.2
330,1024.2,1028.2
331,1023.9,1027.9
332,1023.3,1027.3
333,1023.3,1027.3
334,1023.3,1028.3
335,1024.8,1028.8
336,1024.8,1029.8
337,1026.5,1030.5
338,1024.7,1030.7
339,1024.6,1028.6
340,1024.6,1031.6
341,1027.2,1031.2
342,1027.2,1031.2
343,1027.1,1031.1
344,1027.0,1031.0
345,1023.8,1030.8
346,1023.8,1027.8
347,1024.5,1028.5
348,1024.5,1029.5
349,1026.4,1030.4
350,1026.4,1034.4
351,1030.3,1034.3
352,1030.3,1034.3
353,1030.6,1034.6
354,1029.6,1034.6
355,1028.7,1032.7
356,1029.0,1033.0
357,1029.0,1033.0
358,1027.8,1032.8
359,1025.8,1031.8
360,1025.6,1029.6
361,1024.5,1029.5
362,1024.4,1028.4
363,1024.2,1028.2
364,1024.0,1028.0
365,1023.8,1027.8
366,1023.6,1028.6
367,1025.3,1030.3
368,1022.6,1030.6
369,1021.8,1026.8
370,1022.4,1027.4
371,1023.3,1027.3
372,1022.4,1027.4
373,1019.4,1027.4
374,1018.8,1027.8
375,1024.3,1034.3
376,1029.4,1034.4
377,1029.0,1033.0
378,1029.2,1033.2
379,1028.9,1032.9
